date,critical_staffing_shortage_anticipated_within_week_yes,hospital_onset_covid,inpatient_beds_used_covid,previous_day_admission_adult_covid_suspected,total_adult_patients_hospitalized_confirmed_and_suspected_covid,adult_icu_bed_covid_utilization_utilization,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_60-69,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_80+,previous_day_admission_adult_covid_suspected_unknown,deaths_covid
2020-03-28,0.0,3.506829573934837,520.5531351400955,52.068726883283865,259.5343583694203,0.18736785036595285,0.08987347943264049,0.605925600028135,1.1082249311340142,1.4111659693295857,1.9427895674758557,2.986664572958347,2.4975119362051483,2.764986193131134,0.4168407164075699,1.1771984971581588,3.13809689348066,1.6079115230857566,1.3647688487881868,2.2468850367926274,2.495485169228866,2.9956389647270876,3.082520239326173,7.262577085505554,6.869050873938091
2020-03-29,0.0,3.97272013039022,539.2738851452606,52.695823741785226,251.11085263018592,0.1824687800192123,0.09034273217214715,0.7524391386748072,1.0130997145229976,1.429518482688326,2.0301061759894843,3.103829384232727,3.0606783128585975,2.730354882510032,0.8789740311841403,1.148546536318088,3.0717653098131525,1.7872878832661923,1.681226610561593,3.0311699202473106,3.5631327701227384,3.891350903181875,3.7235800491441955,6.777545100898912,5.528160622076357
2020-03-30,0.0,3.4400616101647565,552.9499956967852,37.82641957109244,235.13189969317585,0.1919931407466033,0.10897726103541458,0.745866739914395,1.06798869752208,1.6314344962427034,2.158392922135706,3.1721310705698897,3.7208360252311663,3.0732039637241466,1.191459555595897,0.518450054131758,2.0153149011761657,1.7503372421016619,2.0917280805612117,2.6395072740543277,3.546374167170251,3.9891656227686174,3.20857620070102,3.163898563397215,9.101222860017963
2020-03-31,0.0,4.773634939753329,613.4699414041854,33.33823810237631,271.7685377793134,0.17575101143639899,0.2173718896444607,1.464676969820938,1.9742696632102992,2.335064866082535,3.844011469268765,5.743586733195021,5.92323802734164,5.4349238162596105,1.5491768189245125,0.5879768672066583,1.9985297054039344,2.0986747202103255,2.239603871451144,3.058241445469302,4.009273236631341,4.415866007710893,3.427776157965188,3.207501456841664,10.683528793720505
2020-04-01,0.0,8.201886083082766,607.3637528719916,27.099287243930437,226.4335516227403,0.18052426224102874,0.31184017585538065,1.7472436020882707,2.4285814971891657,2.851067354391904,4.069617767217038,5.595641550574848,5.5071525608774925,4.28259494141056,0.644065581803443,0.26481785683123704,1.5777165933059247,2.1625584679712984,2.233808452095118,2.6027561964465655,3.9653559981977144,3.9281647265460444,2.776287567712633,1.534364027797344,14.746292244360495
2020-04-02,0.0,8.261068964444332,632.5320203337977,26.44754129885765,270.3798496514967,0.19829424307036247,0.30408645858765687,2.320683168465462,2.4698140547423932,3.6076504633525968,4.553286085055615,6.146959526147144,6.798379439527642,5.414242481582631,1.16191003992568,0.312042297037744,1.680699970962898,2.080700594500744,1.9918509995627478,2.8301157161130956,4.118027135755509,4.077850382484753,2.7391048017919815,2.1577863502055323,15.913781673555386
2020-04-03,0.0,8.193025992284833,655.1082332177169,27.89581211610205,252.62949746787046,0.19505108160648552,0.21952432153418597,1.9450963100495438,2.0209959505521757,3.0151428383329515,3.9781910971401713,5.549734860265469,6.264675994544597,4.760721254104675,0.8258465921460543,0.3876745321170008,2.0651569456425176,2.2427642580984197,2.485588579089863,3.1278598230826016,4.337814704732772,4.686778622596345,3.2519913776311635,2.594148049601376,18.773684446090193
2020-04-04,0.0,7.957172434721809,664.3240801313337,27.01438294012013,248.76595884051488,0.1871029797807747,0.2461467016434855,1.848291759784242,2.12702309341692,2.9463238502609714,4.144573128316465,5.523027522953371,5.777428632027455,4.5698406163860374,0.6319404191866853,0.3752539908734051,2.2219738126708313,2.4206898932448984,2.5691293106088384,3.0433613424783266,4.78203742811959,4.820504097086152,3.219068438319979,2.1684038626160396,22.754300826428498
2020-04-05,0.0,7.883488015680894,674.9125855130454,27.43989437228447,244.27269982285233,0.19818563109704723,0.2660196618070237,1.8680768498036844,2.122801023507324,2.7151796718914296,4.052960850763399,5.729308687808394,6.428162244889654,4.912628054280418,0.7832540738917244,0.24438815419094762,1.7846930275753004,2.0681346036958987,2.188033225697683,2.769820838820004,4.6095242285473095,4.372562529842135,3.373478203529741,2.304106527137755,17.489830767511037
2020-04-06,0.0,8.52067698547115,706.9894841957017,28.73898818292097,242.01043675297493,0.18152058941532628,0.23953933752350964,1.5926164739121331,2.3238349532307256,2.9365895717326813,4.50289353164206,6.628671457581971,6.3512419912888065,5.71459570187226,1.1100892418843438,0.27483388663690156,1.943138505027964,2.7057639265274447,2.6811590425618377,3.4291758691823704,5.3519900537443155,4.99553730960639,3.7839965327483815,3.07955336774591,17.570797232566015
