date,critical_staffing_shortage_anticipated_within_week_yes,hospital_onset_covid,inpatient_beds_used_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid,adult_icu_bed_covid_utilization_utilization,deaths_covid
2020-03-28,0.0,3.506829573934837,520.5531351400955,259.5343583694203,0.18736785036595285,6.869050873938091
2020-03-29,0.0,3.97272013039022,539.2738851452606,251.11085263018592,0.1824687800192123,5.528160622076357
2020-03-30,0.0,3.4400616101647565,552.9499956967852,235.13189969317585,0.1919931407466033,9.101222860017963
2020-03-31,0.0,4.773634939753329,613.4699414041854,271.7685377793134,0.17575101143639899,10.683528793720505
2020-04-01,0.0,8.201886083082766,607.3637528719916,226.4335516227403,0.18052426224102874,14.746292244360495
2020-04-02,0.0,8.261068964444332,632.5320203337977,270.3798496514967,0.19829424307036247,15.913781673555386
2020-04-03,0.0,8.193025992284833,655.1082332177169,252.62949746787046,0.19505108160648552,18.773684446090193
2020-04-04,0.0,7.957172434721809,664.3240801313337,248.76595884051488,0.1871029797807747,22.754300826428498
2020-04-05,0.0,7.883488015680894,674.9125855130454,244.27269982285233,0.19818563109704723,17.489830767511037
2020-04-06,0.0,8.52067698547115,706.9894841957017,242.01043675297493,0.18152058941532628,17.570797232566015
2020-04-07,0.0,9.95139797085414,734.6385974630283,252.3146293034407,0.17265922915814855,18.408621800324948
2020-04-08,0.0,8.334655155101043,751.983558557514,249.3022095954254,0.17393564692991226,22.241649862061017
2020-04-09,0.0,8.753892725788806,750.0152318497104,274.005507142071,0.178758807372318,26.61059635042242
2020-04-10,0.0,9.166315489330707,741.1583445836233,231.21693186476094,0.17466541919212464,21.595939797387803
2020-04-11,0.0,7.967500934267626,726.991035808595,213.79888604758204,0.1729876419505678,21.793624589154536
2020-04-12,0.0,7.520112309584492,725.4795011269738,214.41204689543886,0.1596589167298601,21.17884231518952
2020-04-13,0.0,11.0083913136539,671.9496103779322,226.66289815774837,0.15110473457675752,21.37082477673486
2020-04-14,0.0,11.105857653030151,684.7444783729645,215.18744759112954,0.17138668933527,21.939955585676497
2020-04-15,0.0,10.779499738264605,674.2631586898483,238.73743926100983,0.15216770400695,18.238222790092824
2020-04-16,0.0,10.473105693542827,670.6667742780905,242.6419897197634,0.1546230360574206,14.678085298108938
2020-04-17,0.0,9.97664631797518,663.0598950214662,237.52798858631584,0.14665429570108943,19.599719126074046
2020-04-18,0.0,10.377535324330433,657.1287572629575,254.14372711307095,0.15503236149872335,17.05026413507355
2020-04-19,0.0,10.369995447140573,661.459443896961,238.61610553537858,0.1544052929377601,12.30737118055873
2020-04-20,0.0,20.531295354213174,689.7220772761084,251.91196584299948,0.15570565789542368,15.03326048038252
2020-04-21,0.0,15.34246728609713,723.6303431125475,287.56258065646256,0.14844947063533645,13.839508717931823
2020-04-22,0.0,14.721442028085994,709.7313811522469,260.84796210403107,0.1649500543450132,16.044672113281678
2020-04-23,0.0,16.99596194555012,675.1135408910205,290.091401580749,0.17690851791743278,15.877894461443745
2020-04-24,0.0,47.04867589757754,673.5803559083649,293.3621758984852,0.1783595292867761,16.30832814099144
2020-04-25,0.0,13.437970379419193,668.5630855547664,319.2133145594772,0.18419805679782303,16.514077556115144
2020-04-26,0.0,11.193583449776323,672.6817094813604,324.3475599275552,0.1869866946809884,14.143728839542653
2020-04-27,0.0,11.394932208639215,707.7874780019566,339.5084540869896,0.18051150295838178,14.781633387967256
2020-04-28,0.0,16.377672495294483,707.8398425460088,349.7450514657664,0.17853862005611143,15.864110000523647
2020-04-29,0.0,17.02192705953473,680.7306419915701,373.62586471902677,0.17479408316880551,22.16705156237776
2020-04-30,0.0,15.52120406550379,666.9249752465919,375.69696150126174,0.15826656759285282,23.56924543651391
2020-05-01,0.0,13.480527472737514,666.0514725134723,420.1688402120455,0.16136875700452555,23.21263010241342
2020-05-02,0.0,13.908073427460995,659.821376189486,389.3949938860646,0.1624115594611185,16.75384906809276
2020-05-03,0.0,13.724771771760206,640.9776291608669,377.26904062177687,0.16428486437472048,15.044202325659631
2020-05-04,0.0,14.771026158088876,661.0402080744391,416.18218968637217,0.16998859373713857,16.390875128448485
2020-05-05,0.0,14.737852236219265,659.1911943228068,395.36766145014656,0.1586150355583519,14.368839719575721
2020-05-06,0.0,14.912147395402158,639.7010371301196,407.81049287120635,0.15666259717059508,12.642519072158077
2020-05-07,0.0,15.276330089186661,622.3002388502882,409.5515406741831,0.15389312260019022,13.744134396703977
2020-05-08,0.0,15.37872322638514,602.4210309270519,379.05441129628474,0.14574054953691576,15.332037169415845
2020-05-09,0.0,14.903990653749412,613.7483401425287,347.5627625846913,0.14810628165209122,11.041092937177455
2020-05-10,0.0,14.816247747541324,580.3439013707618,351.4103923153567,0.14724421172792018,11.083015140606873
2020-05-11,0.0,14.40508098238351,567.480685184169,368.55812411540427,0.15067315307161444,11.745727849706698
2020-05-12,0.00017546938059308652,13.51616572179215,596.999800901144,379.261792595843,0.16612569968819266,11.825569195393326
2020-05-13,0.0003497726477789437,14.78265684041073,586.2545139602637,392.39235421782314,0.15183449732881774,11.845012839627953
2020-05-14,0.00034910106475824753,14.837186002759456,570.7096325448331,406.366557288868,0.14751805117915529,18.550553924567627
2020-05-15,0.0005223750652968832,13.364032721558004,556.750760715819,376.1998202170356,0.14337077717622854,9.007984244335471
2020-05-16,0.0005379236148466917,12.231607559777347,533.9689525331113,349.9160419602649,0.14387352893476898,7.705689515602768
2020-05-17,0.0005675368898978433,13.077966669516579,540.1124501332446,324.7391676292689,0.1483236215837026,9.34145376033981
