date,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,inpatient_beds,inpatient_beds_used,inpatient_beds_used_covid,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_suspected,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_suspected,staffed_adult_icu_bed_occupancy,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_covid,total_staffed_adult_icu_beds,inpatient_beds_utilization_utilization,percent_of_inpatients_with_covid_utilization,inpatient_bed_covid_utilization_utilization,adult_icu_bed_covid_utilization_utilization,adult_icu_bed_utilization_utilization,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_60-69,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_80+,previous_day_admission_adult_covid_suspected_unknown,deaths_covid,all_pediatric_inpatient_bed_occupied,all_pediatric_inpatient_beds,staffed_pediatric_icu_bed_occupancy,total_staffed_pediatric_icu_beds
2020-01-01,0.0,-1.7831481614123335,0.07303999915787553,-1.8080150708814064,-1.9324480591373396,0.08567008060360398,-1.0679002027915472,-1.8432967597475476,-1.8030071193434616,-1.1177382162655145,-1.0556045309006148,-1.6191993948523364,-0.9396929280885321,-1.5930816121741638,-1.740320577142117,-1.0357140707568155,-1.0010580651438608,-1.078396647712388,-1.0195524133597487,-1.1341376333383577,-0.9342429711017306,-1.7692981951223188,-2.2225712957215342,-1.4516603728716317,-1.4245860394424898,-1.367065987050347,-3.673475444804168,-0.9044461611620954,-0.94165633668468,-1.022170286530815,-1.0341987184997659,-1.0392461113162363,-1.04002680024541,-1.037099830648637,-1.02331578468576,-0.9374911249913315,-1.4938346447454323,-1.6241674017751095,-1.5823674201969224,-1.5954391023692318,-1.594019880891018,-1.6173507369018405,-1.629489773623674,-1.6281578636889051,-1.4490492643674338,-0.995691291395605,-1.5091625935476334,-1.4511775204583082,-1.197939271287376,-1.1314110174483551
2020-01-02,0.0,-1.7831481614123335,0.07303999915787553,-1.8080150708814064,-1.9324480591373396,0.08567008060360398,-1.0679002027915472,-1.7492203212418174,-1.799038927107145,-1.1177382162655145,-1.0556045309006148,-1.6191993948523364,-0.9396929280885321,-1.5930816121741638,-1.740320577142117,-1.0357140707568155,-1.0010580651438608,-1.078396647712388,-1.0195524133597487,-1.1341376333383577,-0.9342429711017306,-1.7692981951223188,-0.3386848495991341,-1.4516603728716317,-1.4245860394424898,-1.367065987050347,-3.673475444804168,-0.9044461611620954,-0.94165633668468,-1.022170286530815,-1.0341987184997659,-1.0392461113162363,-1.04002680024541,-1.037099830648637,-1.02331578468576,-0.9374911249913315,-1.4938346447454323,-1.6241674017751095,-1.5823674201969224,-1.5954391023692318,-1.594019880891018,-1.6173507369018405,-1.629489773623674,-1.6281578636889051,-1.4490492643674338,-0.995691291395605,-1.5091625935476334,-1.4511775204583082,-1.197939271287376,-1.1314110174483551
2020-01-03,0.0,-1.7831481614123335,0.07303999915787553,-1.8080150708814064,-1.9324480591373396,0.08567008060360398,-1.0679002027915472,-1.7362211552374645,-1.7871343503981951,-1.1177382162655145,-1.0556045309006148,-1.6191993948523364,-0.9396929280885321,-1.5930816121741638,-1.7372269400968143,-1.0357140707568155,-1.0010580651438608,-1.063540753275833,-1.0104669129344386,-1.1283360434301775,-0.9260702817670711,-1.7557798191417529,-0.46214342737899927,-1.4516603728716317,-1.4245860394424898,-1.367065987050347,-3.673475444804168,-0.9044461611620954,-0.94165633668468,-1.022170286530815,-1.0341987184997659,-1.0392461113162363,-1.04002680024541,-1.037099830648637,-1.02331578468576,-0.9374911249913315,-1.4938346447454323,-1.6241674017751095,-1.5823674201969224,-1.5954391023692318,-1.594019880891018,-1.6173507369018405,-1.629489773623674,-1.6281578636889051,-1.4490492643674338,-0.995691291395605,-1.3064898807773528,-1.1141922365087242,-0.844433119680349,-0.7629650152250945
2020-01-04,0.0,1.3514359594316185,-19.680850943826325,-1.8080150708814064,1.10377677657355,-19.661426406627516,-1.0679002027915472,-1.8392763991276446,-1.807239857728866,-1.1170224740381054,-1.0556045309006148,-1.6191993948523364,-0.9396929280885321,-1.5930816121741638,-1.7382581524452485,-1.0357140707568155,-1.0010580651438608,-1.078396647712388,-1.0195524133597487,-1.1341376333383577,-0.9342429711017306,-1.760285944468608,-5.590018318165325,-1.4516603728716317,-1.4245860394424898,-1.367065987050347,-3.673475444804168,-0.9044461611620954,-0.94165633668468,-1.022170286530815,-1.0341987184997659,-1.0392461113162363,-1.04002680024541,-1.037099830648637,-1.02331578468576,-0.9374911249913315,-1.4938346447454323,-1.6241674017751095,-1.5823674201969224,-1.5954391023692318,-1.594019880891018,-1.6173507369018405,-1.629489773623674,-1.6281578636889051,-1.4490492643674338,-0.995691291395605,-1.5091625935476334,-1.4511775204583082,-1.197939271287376,-1.1314110174483551
2020-01-05,0.0,-1.7831481614123335,0.07303999915787553,-1.8080150708814064,-1.9324480591373396,0.08567008060360398,-1.0679002027915472,-1.8368641827557028,-1.7919138174917142,-1.1177382162655145,-1.0454005245586924,-1.6171335943134695,-0.9276160258211412,-1.581827488624512,-1.7303365666777302,-1.0227428245001238,-0.9876546590524842,-1.0593398235557794,-0.9930250632364176,-1.1220070362576169,-0.9245843382516783,-1.7606614549125128,0.7860433898351332,-1.3338752974614014,-1.3135419465130642,2.1256296008291864,0.8027724838949326,-0.9044461611620954,-0.9258513367793564,-1.016180486459987,-1.0178961096529964,-1.027106241689386,-1.0306566291020596,-1.0316474035826442,-1.0127991973531238,-0.9374911249913315,-1.4938346447454323,-1.616806178876376,-1.5823674201969224,-1.5954391023692318,-1.594019880891018,-1.6147770862595912,-1.626858682276238,-1.6251821821967434,-1.4490492643674338,-0.995691291395605,-1.6844598340093249,-1.762336765204568,-1.5143388727725788,-1.4679859329779235
2020-01-06,0.0,1.3514359594316185,-19.680850943826325,-1.8080150708814064,1.10377677657355,-19.661426406627516,-1.0679002027915472,-1.8392763991276446,-1.807239857728866,-1.1170224740381054,-1.0556045309006148,-1.6191993948523364,-0.9396929280885321,-1.5930816121741638,-1.7382581524452485,-1.0357140707568155,-1.0010580651438608,-1.078396647712388,-1.0195524133597487,-1.1341376333383577,-0.9342429711017306,-1.760285944468608,-5.590018318165325,-1.4516603728716317,-1.4245860394424898,-1.367065987050347,-3.673475444804168,-0.9044461611620954,-0.94165633668468,-1.022170286530815,-1.0341987184997659,-1.0392461113162363,-1.04002680024541,-1.037099830648637,-1.02331578468576,-0.9374911249913315,-1.4938346447454323,-1.6241674017751095,-1.5823674201969224,-1.5954391023692318,-1.594019880891018,-1.6173507369018405,-1.629489773623674,-1.6281578636889051,-1.4490492643674338,-0.995691291395605,-1.5091625935476334,-1.4511775204583082,-1.197939271287376,-1.1314110174483551
2020-01-07,0.0,-0.21585610099035737,-6.511590315170192,-1.8080150708814064,-0.4143356412818948,-6.496695415140103,-1.0679002027915472,-1.8248031008959937,-1.802478027045286,-1.1170224740381054,-1.0556045309006148,-1.6191993948523364,-0.9396929280885321,-1.5930816121741638,-1.7351645153999453,-1.0357140707568155,-1.0010580651438608,-1.063540753275833,-1.0104669129344386,-1.1283360434301775,-0.9260702817670711,-1.746767568488042,-5.22191682178483,-1.4516603728716317,-1.4245860394424898,-1.367065987050347,-3.673475444804167,-0.9044461611620954,-0.94165633668468,-1.022170286530815,-1.0341987184997659,-1.0392461113162363,-1.04002680024541,-1.037099830648637,-1.02331578468576,-0.9374911249913315,-1.4938346447454323,-1.6241674017751095,-1.5823674201969224,-1.5954391023692318,-1.594019880891018,-1.6173507369018405,-1.629489773623674,-1.6281578636889051,-1.4490492643674338,-0.995691291395605,-1.3064898807773528,-1.1141922365087242,-0.844433119680349,-0.7629650152250945
2020-01-08,0.0,-1.7831481614123335,0.07303999915787553,-1.8080150708814064,-1.9324480591373396,0.08567008060360398,-1.0679002027915472,-1.8408845433756058,-1.802478027045286,-1.1177382162655145,-1.0556045309006148,-1.6191993948523364,-0.9396929280885321,-1.5930816121741638,-1.740320577142117,-1.0357140707568155,-1.0010580651438608,-1.078396647712388,-1.0195524133597487,-1.1341376333383577,-0.9342429711017306,-1.7692981951223188,-2.798203265370046,-1.4516603728716317,-1.4245860394424898,-1.367065987050347,-3.673475444804168,-0.9044461611620954,-0.94165633668468,-1.022170286530815,-1.0341987184997659,-1.0392461113162363,-1.04002680024541,-1.037099830648637,-1.02331578468576,-0.9374911249913315,-1.4938346447454323,-1.6241674017751095,-1.5823674201969224,-1.5954391023692318,-1.594019880891018,-1.6173507369018405,-1.629489773623674,-1.6281578636889051,-1.4490492643674338,-0.995691291395605,-1.5091625935476334,-1.4511775204583082,-1.197939271287376,-1.1314110174483551
2020-01-09,0.0,-1.7831481614123335,0.07303999915787553,-1.8080150708814064,-1.9324480591373396,0.08567008060360398,-1.0679002027915472,-1.810329802664343,-1.7754943198383328,-1.1177382162655145,-1.0556045309006148,-1.6191993948523364,-0.9396929280885321,-1.5930816121741638,-1.7341333030515111,-1.0357140707568155,-1.0010580651438608,-1.0486848588392776,-1.0013814125091285,-1.122534453521997,-0.9178975924324114,-1.7422614431611867,-1.2049362065214877,-1.4516603728716317,-1.4245860394424898,-1.367065987050347,-3.673475444804168,-0.9044461611620954,-0.94165633668468,-1.022170286530815,-1.0341987184997659,-1.0392461113162363,-1.04002680024541,-1.037099830648637,-1.02331578468576,-0.9374911249913315,-1.4938346447454323,-1.6241674017751095,-1.5823674201969224,-1.5954391023692318,-1.594019880891018,-1.6173507369018405,-1.629489773623674,-1.6281578636889051,-1.4490492643674338,-0.995691291395605,-1.1038171680070723,-0.7772069525591402,-0.4909269680733217,-0.39451901300183384
2020-01-10,0.0,-1.7831481614123335,0.07303999915787553,-1.8080150708814064,-1.9324480591373396,0.08567008060360398,-1.0679002027915472,-1.8406835253446105,-1.7985098348089694,-1.1177382162655145,-1.0556045309006148,-1.6191993948523364,-0.9396929280885321,-1.5930816121741638,-1.740320577142117,-1.0357140707568155,-1.0010580651438608,-1.078396647712388,-1.0195524133597487,-1.1341376333383577,-0.9342429711017306,-1.7692981951223188,-0.7322364701931965,-1.4516603728716317,-1.4245860394424898,-1.367065987050347,-3.673475444804168,-0.9044461611620954,-0.94165633668468,-1.022170286530815,-1.0341987184997659,-1.0392461113162363,-1.04002680024541,-1.037099830648637,-1.02331578468576,-0.9374911249913315,-1.4938346447454323,-1.6241674017751095,-1.5823674201969224,-1.5954391023692318,-1.594019880891018,-1.6173507369018405,-1.629489773623674,-1.6281578636889051,-1.4490492643674338,-0.995691291395605,-1.5091625935476334,-1.4511775204583082,-1.197939271287376,-1.1314110174483551
