date,critical_staffing_shortage_anticipated_within_week_yes,hospital_onset_covid,inpatient_beds_used_covid,previous_day_admission_adult_covid_suspected,total_adult_patients_hospitalized_confirmed_and_suspected_covid,adult_icu_bed_covid_utilization_utilization,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_60-69,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_80+,previous_day_admission_adult_covid_suspected_unknown,deaths_covid
2020-03-28,0.0,-1.292109692856449,0.24669186231417034,0.5514526185820509,-0.660675541587184,0.43419772959229486,-0.29345800539121886,-1.0856024747823887,-1.1162677636074434,-1.1223511941485698,-1.180190086757911,-1.1168144872428902,-1.1816377531356985,-1.0791488123446162,-0.9554777381939468,4.763487356286775,0.18360693320394691,-1.861159186786093,-1.894687995047131,-1.8027374327246266,-2.1718687809427655,-2.0092943405296677,-1.748905733797804,1.5977732993394063,0.011712418706320626
2020-03-29,0.0,-1.2237768215062892,0.32072612306905857,0.5963836502972548,-0.6947921099618827,0.37942311110054683,-0.29292707088574793,-1.0111435749908573,-1.15420096006509,-1.1158317337431378,-1.1612940655566297,-1.097927886264394,-1.0943433222694243,-1.084941283263793,-0.7300004365131487,4.5867322377105255,0.1099310812336134,-1.7399370212026843,-1.6661565191360561,-1.4494505450276705,-1.8062628561756084,-1.6952085785283229,-1.5141924631244752,1.4380849471781936,-0.22481787777004172
2020-03-30,0.0,-1.301902650913649,0.37481053391824476,-0.4689982940106907,-0.7595094684237462,0.48591131973950275,-0.27184309303384835,-1.0144837003145084,-1.1323128146327515,-1.0441040401101813,-1.1335317747818567,-1.0869178681371297,-0.9920146070396668,-1.027595970684458,-0.5775370875058675,0.6996412618090226,-1.0634900798062112,-1.7649081865064853,-1.3697109326003987,-1.625877861452759,-1.8120016828494285,-1.660909369801297,-1.7027524630280142,0.2483546217962339,0.40546298921024043
2020-03-31,0.0,-1.1063054371385994,0.614146534887071,-0.7905732168964472,-0.6111251250187154,0.304314328169054,-0.14920033852004955,-0.6491808117752416,-0.7709140694624252,-0.7941497016192257,-0.7687502704827361,-0.672407261192502,-0.6506280518702258,-0.6325721231977948,-0.4030049325605539,1.1285550160151856,-1.0821337414019732,-1.5295024540692799,-1.2629217277655638,-1.4372559776037024,-1.6534862305386797,-1.511284797662554,-1.6224960842736953,0.262710116742102,0.6845785179385094
2020-04-01,0.0,-0.6034786657279546,0.5899986159262268,-1.2375894873340743,-0.7947391929444676,0.3576822068244348,-0.04231449939888259,-0.505579061720168,-0.5897475957835813,-0.6108474080379884,-0.7199272405719063,-0.6962555617227226,-0.7151239903574539,-0.8253119120530076,-0.844613518095436,-0.8650261394499804,-1.5495395055929384,-1.4863299521778406,-1.2671069173830791,-1.6424326543621466,-1.6685252776524488,-1.6822996317262238,-1.8610276775550474,-0.28814130638624535,1.4012416767309381
2020-04-02,0.0,-0.5947982231601109,0.689530636571876,-1.2842866080919475,-0.6167495378143428,0.556361517722678,-0.05108741790635456,-0.21415425822574874,-0.5733052394679725,-0.34208238790853,-0.6152574996847624,-0.6073848290884843,-0.5149754726834977,-0.636031305872018,-0.5919544533313895,-0.5736966358606717,-1.435153753464774,-1.5416493302841399,-1.441837641082311,-1.5400168883748573,-1.6162444760233918,-1.6298116260541262,-1.8746415221109778,-0.082890340418265,1.607184422930395
2020-04-03,0.0,-0.6047781886228856,0.7788119544167698,-1.180519062234163,-0.6886413513530975,0.5201009786166844,-0.14676497636929794,-0.40502934398317064,-0.752280971945036,-0.5525620059164122,-0.7397127123801175,-0.703655576562385,-0.597702958578548,-0.7453399816725795,-0.7559215965258396,-0.10711828353636405,-1.0081294976074098,-1.4321270485078257,-1.085282702660903,-1.4058958679389912,-1.5409802808517068,-1.4162879672877529,-1.6868567259718605,0.06077416611793858,2.111665419598108
2020-04-04,0.0,-0.6393711860192067,0.8152575248822477,-1.243672818665657,-0.7042893112202734,0.431236313603959,-0.11664316987191048,-0.45422589178446876,-0.7100004013096203,-0.5770089391024604,-0.7037062934165507,-0.7079607157720615,-0.6732294512196402,-0.7772668860602335,-0.8505294494118988,-0.18374111059337367,-0.8339497834678689,-1.3118852798401834,-1.0249533665569823,-1.4439588293163805,-1.3888603683914094,-1.3693964771211935,-1.698910906638874,-0.0793947089657121,2.8138380032922803
2020-04-05,0.0,-0.6501785910139382,0.8571314972507638,-1.2131852354565051,-0.722487741095772,0.5551471690848927,-0.09415797290158835,-0.44417101188236807,-0.7116840411797246,-0.6591195083400359,-0.7235319321857224,-0.6747088374340118,-0.5723615323678085,-0.7199318840100272,-0.7767027126685258,-0.9910578108185831,-1.3196465301890092,-1.5501414003458374,-1.3001637145687328,-1.5671771588229069,-1.4479358983802924,-1.526469373484085,-1.6423763673318907,-0.034716964880581354,1.8851962579310955
2020-04-06,0.0,-0.5567211227413691,0.9839848274124665,-1.1201061131240702,-0.7316502744986451,0.3688217571886009,-0.12411905079099372,-0.5841613275521645,-0.6315175004607272,-0.5804668983585103,-0.6261628563391106,-0.5297343729776929,-0.5842846691858778,-0.5857938975035176,-0.6172380962536818,-0.8032368418223105,-1.1436578850107764,-1.1192328498803736,-0.9440505634603937,-1.2701658412797552,-1.1936854280922553,-1.3080202270459722,-1.4920719834872544,0.2205854318588007,1.8994785766797828
